Gen 700:   aveUtil = 650.342
Gen 701:   aveUtil = 648.255
Gen 702:   aveUtil = 649.024
Gen 703:   aveUtil = 648.208
Gen 704:   aveUtil = 648.006
Gen 705:   aveUtil = 647.352
Gen 706:   aveUtil = 648.243
Gen 707:   aveUtil = 647.747
Gen 708:   aveUtil = 646.992
Gen 709:   aveUtil = 646.925
Gen 710:   aveUtil = 649.571
Gen 711:   aveUtil = 648.864
Gen 712:   aveUtil = 650.645
Gen 713:   aveUtil = 652.225
Gen 714:   aveUtil = 650.333
Gen 715:   aveUtil = 651.776
Gen 716:   aveUtil = 650.938
Gen 717:   aveUtil = 650.131
Gen 718:   aveUtil = 649.58
Gen 719:   aveUtil = 650.701
Gen 720:   aveUtil = 649.544
Gen 721:   aveUtil = 650.278
Gen 722:   aveUtil = 651.109
Gen 723:   aveUtil = 648.954
Gen 724:   aveUtil = 648.941
Gen 725:   aveUtil = 650.54
Gen 726:   aveUtil = 650.654
Gen 727:   aveUtil = 651.367
Gen 728:   aveUtil = 647.54
Gen 729:   aveUtil = 653.862
Gen 730:   aveUtil = 651.267
Gen 731:   aveUtil = 647.2
Gen 732:   aveUtil = 649.017
Gen 733:   aveUtil = 651.411
Gen 734:   aveUtil = 648.399
Gen 735:   aveUtil = 648.622
Gen 736:   aveUtil = 648.025
Gen 737:   aveUtil = 650.249
Gen 738:   aveUtil = 647.887
Gen 739:   aveUtil = 647.236
Gen 740:   aveUtil = 647.568
Gen 741:   aveUtil = 647.549
Gen 742:   aveUtil = 649.942
Gen 743:   aveUtil = 647.249
Gen 744:   aveUtil = 646.788
Gen 745:   aveUtil = 649.972
Gen 746:   aveUtil = 652.172
Gen 747:   aveUtil = 649.962
Gen 748:   aveUtil = 652.353
Gen 749:   aveUtil = 649.918
Gen 750:   aveUtil = 651.92
Gen 751:   aveUtil = 653.578
Gen 752:   aveUtil = 651.636
Gen 753:   aveUtil = 651.795
Gen 754:   aveUtil = 651.781
Gen 755:   aveUtil = 651.221
Gen 756:   aveUtil = 654.839
Gen 757:   aveUtil = 653.598
Gen 758:   aveUtil = 650.444
Gen 759:   aveUtil = 656.563
Gen 760:   aveUtil = 652.894
Gen 761:   aveUtil = 649.804
Gen 762:   aveUtil = 648.066
Gen 763:   aveUtil = 651.522
Gen 764:   aveUtil = 654.382
Gen 765:   aveUtil = 650.946
Gen 766:   aveUtil = 648.457
Gen 767:   aveUtil = 651.551
Gen 768:   aveUtil = 652.804
Gen 769:   aveUtil = 656.206
Gen 770:   aveUtil = 656.114
Gen 771:   aveUtil = 653.234
Gen 772:   aveUtil = 650.477
Gen 773:   aveUtil = 654.34
Gen 774:   aveUtil = 650.444
Gen 775:   aveUtil = 650.397
Gen 776:   aveUtil = 653.15
Gen 777:   aveUtil = 651.967
